id,hotel_cluster
0,101 101 1 101 101
1,101 101 1 101 101
2,101 101 1 101 101
3,101 101 80 101 101
4,101 101 21 101 101
5,101 101 92 101 101
6,101 101 41 101 101
7,101 101 41 101 101
8,101 101 69 101 101
9,101 101 70 101 101
10,101 101 98 101 101
11,101 101 10 101 101
12,101 101 18 101 101
13,101 101 28 101 101
14,101 101 25 101 101
15,101 101 25 101 101
16,101 101 25 101 101
17,101 101 25 101 101
18,101 101 25 101 101
19,101 101 2 101 101
20,101 101 2 101 101
21,101 101 16 101 101
22,101 101 16 101 101
23,101 101 94 101 101
24,101 101 77 101 101
25,101 101 24 101 101
26,101 101 58 101 101
27,101 101 58 101 101
28,101 101 36 101 101
29,101 101 82 101 101
30,101 101 46 101 101
31,101 101 30 101 101
32,101 101 36 101 101
33,101 101 29 101 101
34,101 101 57 101 101
35,101 101 29 101 101
36,101 101 46 101 101
37,101 101 30 101 101
38,101 101 85 101 101
39,101 101 46 101 101
40,101 101 36 101 101
41,101 101 36 101 101
42,101 101 82 101 101
43,101 101 5 101 101
44,101 101 29 101 101
45,101 101 59 101 101
46,101 101 29 101 101
47,101 101 62 101 101
48,101 101 81 101 101
49,101 101 46 101 101
50,101 101 59 101 101
51,101 101 29 101 101
52,101 101 29 101 101
53,101 101 36 101 101
54,101 101 81 101 101
55,101 101 29 101 101
56,101 101 59 101 101
57,101 101 36 101 101
58,101 101 46 101 101
59,101 101 36 101 101
60,101 101 81 101 101
61,101 101 6 101 101
62,101 101 82 101 101
63,101 101 81 101 101
64,101 101 36 101 101
65,101 101 29 101 101
66,101 101 36 101 101
67,101 101 36 101 101
68,101 101 29 101 101
69,101 101 36 101 101
70,101 101 36 101 101
71,101 101 53 101 101
72,101 101 36 101 101
73,101 101 8 101 101
74,101 101 28 101 101
75,101 101 73 101 101
76,101 101 26 101 101
77,101 101 28 101 101
78,101 101 95 101 101
79,101 101 95 101 101
80,101 101 95 101 101
81,101 101 95 101 101
82,101 101 95 101 101
83,101 101 95 101 101
84,101 101 95 101 101
85,101 101 95 101 101
86,101 101 95 101 101
87,101 101 95 101 101
88,101 101 95 101 101
89,101 101 95 101 101
90,101 101 95 101 101
91,101 101 95 101 101
92,101 101 95 101 101
93,101 101 95 101 101
94,101 101 95 101 101
95,101 101 95 101 101
96,101 101 77 101 101
97,101 101 77 101 101
98,101 101 77 101 101
99,101 101 13 101 101
100,101 101 42 101 101
101,101 101 9 101 101
102,101 101 9 101 101
103,101 101 55 101 101
104,101 101 5 101 101
105,101 101 91 101 101
106,101 101 13 101 101
107,101 101 72 101 101
108,101 101 72 101 101
109,101 101 55 101 101
110,101 101 26 101 101
111,101 101 65 101 101
112,101 101 21 101 101
113,101 101 56 101 101
114,101 101 56 101 101
115,101 101 69 101 101
116,101 101 68 101 101
117,101 101 75 101 101
118,101 101 56 101 101
119,101 101 68 101 101
120,101 101 6 101 101
121,101 101 38 101 101
122,101 101 46 101 101
123,101 101 67 101 101
124,101 101 81 101 101
125,101 101 82 101 101
126,101 101 38 101 101
127,101 101 53 101 101
128,101 101 38 101 101
129,101 101 81 101 101
130,101 101 78 101 101
131,101 101 67 101 101
132,101 101 46 101 101
133,101 101 81 101 101
134,101 101 82 101 101
135,101 101 43 101 101
136,101 101 43 101 101
137,101 101 43 101 101
138,101 101 43 101 101
139,101 101 82 101 101
140,101 101 82 101 101
141,101 101 82 101 101
142,101 101 82 101 101
143,101 101 37 101 101
144,101 101 99 101 101
145,101 101 8 101 101
146,101 101 8 101 101
147,101 101 78 101 101
148,101 101 8 101 101
149,101 101 8 101 101
150,101 101 8 101 101
151,101 101 8 101 101
152,101 101 35 101 101
153,101 101 25 101 101
154,101 101 25 101 101
155,101 101 25 101 101
156,101 101 25 101 101
157,101 101 25 101 101
158,101 101 25 101 101
159,101 101 55 101 101
160,101 101 55 101 101
161,101 101 82 101 101
