id,hotel_cluster
0,91 101 101 101 101
1,48 101 101 101 101
2,42 101 101 101 101
3,42 101 101 101 101
4,6 101 101 101 101
5,47 101 101 101 101
6,91 101 101 101 101
7,42 101 101 101 101
8,98 101 101 101 101
9,46 101 101 101 101
10,97 101 101 101 101
11,25 101 101 101 101
12,2 101 101 101 101
13,2 101 101 101 101
14,2 101 101 101 101
15,2 101 101 101 101
16,2 101 101 101 101
17,29 101 101 101 101
18,42 101 101 101 101
19,8 101 101 101 101
20,8 101 101 101 101
21,60 101 101 101 101
22,17 101 101 101 101
23,17 101 101 101 101
24,40 101 101 101 101
25,83 101 101 101 101
26,30 101 101 101 101
27,48 101 101 101 101
28,5 101 101 101 101
29,55 101 101 101 101
30,55 101 101 101 101
31,40 101 101 101 101
32,51 101 101 101 101
33,35 101 101 101 101
34,35 101 101 101 101
35,78 101 101 101 101
36,8 101 101 101 101
37,83 101 101 101 101
38,78 101 101 101 101
39,78 101 101 101 101
40,35 101 101 101 101
41,47 101 101 101 101
42,47 101 101 101 101
43,8 101 101 101 101
44,23 101 101 101 101
45,35 101 101 101 101
46,76 101 101 101 101
47,14 101 101 101 101
48,8 101 101 101 101
49,50 101 101 101 101
50,10 101 101 101 101
51,47 101 101 101 101
52,47 101 101 101 101
53,47 101 101 101 101
54,10 101 101 101 101
55,10 101 101 101 101
56,81 101 101 101 101
57,81 101 101 101 101
58,16 101 101 101 101
59,16 101 101 101 101
60,76 101 101 101 101
61,76 101 101 101 101
62,72 101 101 101 101
63,72 101 101 101 101
64,72 101 101 101 101
65,11 101 101 101 101
66,62 101 101 101 101
67,85 101 101 101 101
68,93 101 101 101 101
69,93 101 101 101 101
70,85 101 101 101 101
71,85 101 101 101 101
72,94 101 101 101 101
73,16 101 101 101 101
74,94 101 101 101 101
75,42 101 101 101 101
76,17 101 101 101 101
77,95 101 101 101 101
78,59 101 101 101 101
79,19 101 101 101 101
80,41 101 101 101 101
81,68 101 101 101 101
82,18 101 101 101 101
83,18 101 101 101 101
84,41 101 101 101 101
85,59 101 101 101 101
86,95 101 101 101 101
87,18 101 101 101 101
88,99 101 101 101 101
89,95 101 101 101 101
90,19 101 101 101 101
91,37 101 101 101 101
92,98 101 101 101 101
93,99 101 101 101 101
94,41 101 101 101 101
95,72 101 101 101 101
96,68 101 101 101 101
97,18 101 101 101 101
98,98 101 101 101 101
99,95 101 101 101 101
100,95 101 101 101 101
101,49 101 101 101 101
102,18 101 101 101 101
103,37 101 101 101 101
104,21 101 101 101 101
105,18 101 101 101 101
106,41 101 101 101 101
107,19 101 101 101 101
108,93 101 101 101 101
109,93 101 101 101 101
110,94 101 101 101 101
111,18 101 101 101 101
112,91 101 101 101 101
113,68 101 101 101 101
114,75 101 101 101 101
115,41 101 101 101 101
116,83 101 101 101 101
117,76 101 101 101 101
118,41 101 101 101 101
119,41 101 101 101 101
120,48 101 101 101 101
121,13 101 101 101 101
122,95 101 101 101 101
123,68 101 101 101 101
124,68 101 101 101 101
125,68 101 101 101 101
126,72 101 101 101 101
127,68 101 101 101 101
128,25 101 101 101 101
129,28 101 101 101 101
130,2 101 101 101 101
131,25 101 101 101 101
132,68 101 101 101 101
133,21 101 101 101 101
134,2 101 101 101 101
135,4 101 101 101 101
136,98 101 101 101 101
137,18 101 101 101 101
138,94 101 101 101 101
139,73 101 101 101 101
140,21 101 101 101 101
141,95 101 101 101 101
142,91 101 101 101 101
143,56 101 101 101 101
144,18 101 101 101 101
145,91 101 101 101 101
146,18 101 101 101 101
147,18 101 101 101 101
148,73 101 101 101 101
149,21 101 101 101 101
150,68 101 101 101 101
