id,hotel_cluster
0,101 91 101 101 101
1,101 48 101 101 101
2,101 42 101 101 101
3,101 42 101 101 101
4,101 6 101 101 101
5,101 47 101 101 101
6,101 91 101 101 101
7,101 42 101 101 101
8,101 98 101 101 101
9,101 46 101 101 101
10,101 97 101 101 101
11,101 25 101 101 101
12,101 2 101 101 101
13,101 2 101 101 101
14,101 2 101 101 101
15,101 2 101 101 101
16,101 2 101 101 101
17,101 29 101 101 101
18,101 42 101 101 101
19,101 8 101 101 101
20,101 8 101 101 101
21,101 60 101 101 101
22,101 17 101 101 101
23,101 17 101 101 101
24,101 40 101 101 101
25,101 83 101 101 101
26,101 30 101 101 101
27,101 48 101 101 101
28,101 5 101 101 101
29,101 55 101 101 101
30,101 55 101 101 101
31,101 40 101 101 101
32,101 51 101 101 101
33,101 35 101 101 101
34,101 35 101 101 101
35,101 78 101 101 101
36,101 8 101 101 101
37,101 83 101 101 101
38,101 78 101 101 101
39,101 78 101 101 101
40,101 35 101 101 101
41,101 47 101 101 101
42,101 47 101 101 101
43,101 8 101 101 101
44,101 23 101 101 101
45,101 35 101 101 101
46,101 76 101 101 101
47,101 14 101 101 101
48,101 8 101 101 101
49,101 50 101 101 101
50,101 10 101 101 101
51,101 47 101 101 101
52,101 47 101 101 101
53,101 47 101 101 101
54,101 10 101 101 101
55,101 10 101 101 101
56,101 81 101 101 101
57,101 81 101 101 101
58,101 16 101 101 101
59,101 16 101 101 101
60,101 76 101 101 101
61,101 76 101 101 101
62,101 72 101 101 101
63,101 72 101 101 101
64,101 72 101 101 101
65,101 11 101 101 101
66,101 62 101 101 101
67,101 85 101 101 101
68,101 93 101 101 101
69,101 93 101 101 101
70,101 85 101 101 101
71,101 85 101 101 101
72,101 94 101 101 101
73,101 16 101 101 101
74,101 94 101 101 101
75,101 42 101 101 101
76,101 17 101 101 101
77,101 95 101 101 101
78,101 59 101 101 101
79,101 19 101 101 101
80,101 41 101 101 101
81,101 68 101 101 101
82,101 18 101 101 101
83,101 18 101 101 101
84,101 41 101 101 101
85,101 59 101 101 101
86,101 95 101 101 101
87,101 18 101 101 101
88,101 99 101 101 101
89,101 95 101 101 101
90,101 19 101 101 101
91,101 37 101 101 101
92,101 98 101 101 101
93,101 99 101 101 101
94,101 41 101 101 101
95,101 72 101 101 101
96,101 68 101 101 101
97,101 18 101 101 101
98,101 98 101 101 101
99,101 95 101 101 101
100,101 95 101 101 101
101,101 49 101 101 101
102,101 18 101 101 101
103,101 37 101 101 101
104,101 21 101 101 101
105,101 18 101 101 101
106,101 41 101 101 101
107,101 19 101 101 101
108,101 93 101 101 101
109,101 93 101 101 101
110,101 94 101 101 101
111,101 18 101 101 101
112,101 91 101 101 101
113,101 68 101 101 101
114,101 75 101 101 101
115,101 41 101 101 101
116,101 83 101 101 101
117,101 76 101 101 101
118,101 41 101 101 101
119,101 41 101 101 101
120,101 48 101 101 101
121,101 13 101 101 101
122,101 95 101 101 101
123,101 68 101 101 101
124,101 68 101 101 101
125,101 68 101 101 101
126,101 72 101 101 101
127,101 68 101 101 101
128,101 25 101 101 101
129,101 28 101 101 101
130,101 2 101 101 101
131,101 25 101 101 101
132,101 68 101 101 101
133,101 21 101 101 101
134,101 2 101 101 101
135,101 4 101 101 101
136,101 98 101 101 101
137,101 18 101 101 101
138,101 94 101 101 101
139,101 73 101 101 101
140,101 21 101 101 101
141,101 95 101 101 101
142,101 91 101 101 101
143,101 56 101 101 101
144,101 18 101 101 101
145,101 91 101 101 101
146,101 18 101 101 101
147,101 18 101 101 101
148,101 73 101 101 101
149,101 21 101 101 101
150,101 68 101 101 101
151,101 95 101 101 101
152,101 70 101 101 101
153,101 68 101 101 101
154,101 9 101 101 101
155,101 33 101 101 101
156,101 68 101 101 101
157,101 91 101 101 101
158,101 97 101 101 101
159,101 37 101 101 101
160,101 98 101 101 101
161,101 97 101 101 101
162,101 68 101 101 101
163,101 91 101 101 101
164,101 91 101 101 101
165,101 91 101 101 101
166,101 91 101 101 101
167,101 50 101 101 101
168,101 42 101 101 101
169,101 18 101 101 101
170,101 91 101 101 101
171,101 22 101 101 101
172,101 91 101 101 101
173,101 91 101 101 101
174,101 91 101 101 101
175,101 55 101 101 101
176,101 41 101 101 101
177,101 70 101 101 101
178,101 56 101 101 101
179,101 60 101 101 101
180,101 56 101 101 101
181,101 41 101 101 101
182,101 56 101 101 101
183,101 70 101 101 101
184,101 4 101 101 101
185,101 17 101 101 101
186,101 70 101 101 101
187,101 41 101 101 101
188,101 83 101 101 101
189,101 21 101 101 101
190,101 41 101 101 101
191,101 41 101 101 101
192,101 56 101 101 101
193,101 56 101 101 101
194,101 41 101 101 101
195,101 41 101 101 101
196,101 98 101 101 101
197,101 98 101 101 101
198,101 56 101 101 101
199,101 69 101 101 101
200,101 70 101 101 101
201,101 70 101 101 101
202,101 41 101 101 101
203,101 56 101 101 101
204,101 75 101 101 101
205,101 70 101 101 101
206,101 98 101 101 101
207,101 56 101 101 101
208,101 70 101 101 101
209,101 98 101 101 101
210,101 98 101 101 101
211,101 70 101 101 101
212,101 93 101 101 101
213,101 18 101 101 101
214,101 59 101 101 101
215,101 62 101 101 101
216,101 99 101 101 101
217,101 36 101 101 101
218,101 30 101 101 101
219,101 61 101 101 101
220,101 78 101 101 101
221,101 30 101 101 101
222,101 82 101 101 101
223,101 30 101 101 101
224,101 61 101 101 101
225,101 7 101 101 101
226,101 14 101 101 101
227,101 60 101 101 101
228,101 30 101 101 101
229,101 40 101 101 101
230,101 53 101 101 101
231,101 53 101 101 101
232,101 78 101 101 101
233,101 20 101 101 101
234,101 82 101 101 101
235,101 82 101 101 101
236,101 53 101 101 101
237,101 30 101 101 101
238,101 61 101 101 101
239,101 37 101 101 101
240,101 77 101 101 101
241,101 81 101 101 101
242,101 12 101 101 101
243,101 12 101 101 101
244,101 60 101 101 101
245,101 22 101 101 101
246,101 37 101 101 101
247,101 62 101 101 101
248,101 81 101 101 101
249,101 30 101 101 101
250,101 76 101 101 101
251,101 23 101 101 101
252,101 23 101 101 101
253,101 20 101 101 101
254,101 14 101 101 101
255,101 57 101 101 101
256,101 57 101 101 101
257,101 30 101 101 101
258,101 30 101 101 101
259,101 82 101 101 101
260,101 82 101 101 101
261,101 47 101 101 101
262,101 81 101 101 101
263,101 78 101 101 101
264,101 61 101 101 101
265,101 85 101 101 101
266,101 85 101 101 101
267,101 47 101 101 101
268,101 67 101 101 101
269,101 67 101 101 101
270,101 67 101 101 101
271,101 35 101 101 101
272,101 50 101 101 101
273,101 4 101 101 101
274,101 85 101 101 101
275,101 62 101 101 101
276,101 30 101 101 101
277,101 60 101 101 101
278,101 15 101 101 101
279,101 59 101 101 101
280,101 20 101 101 101
281,101 62 101 101 101
282,101 90 101 101 101
283,101 57 101 101 101
284,101 62 101 101 101
285,101 15 101 101 101
286,101 15 101 101 101
287,101 7 101 101 101
288,101 30 101 101 101
289,101 57 101 101 101
290,101 53 101 101 101
291,101 57 101 101 101
292,101 60 101 101 101
293,101 3 101 101 101
294,101 90 101 101 101
295,101 32 101 101 101
296,101 32 101 101 101
297,101 35 101 101 101
298,101 57 101 101 101
299,101 85 101 101 101
300,101 14 101 101 101
301,101 85 101 101 101
302,101 85 101 101 101
303,101 85 101 101 101
304,101 32 101 101 101
305,101 51 101 101 101
306,101 35 101 101 101
307,101 14 101 101 101
308,101 32 101 101 101
309,101 36 101 101 101
310,101 83 101 101 101
311,101 60 101 101 101
312,101 85 101 101 101
313,101 35 101 101 101
314,101 76 101 101 101
315,101 60 101 101 101
316,101 60 101 101 101
317,101 82 101 101 101
318,101 78 101 101 101
319,101 90 101 101 101
320,101 82 101 101 101
321,101 82 101 101 101
322,101 11 101 101 101
323,101 22 101 101 101
324,101 57 101 101 101
325,101 57 101 101 101
326,101 57 101 101 101
327,101 60 101 101 101
328,101 82 101 101 101
329,101 83 101 101 101
330,101 12 101 101 101
331,101 82 101 101 101
332,101 85 101 101 101
333,101 85 101 101 101
334,101 12 101 101 101
335,101 85 101 101 101
336,101 35 101 101 101
337,101 85 101 101 101
338,101 61 101 101 101
339,101 61 101 101 101
340,101 48 101 101 101
341,101 85 101 101 101
342,101 85 101 101 101
343,101 48 101 101 101
344,101 48 101 101 101
345,101 14 101 101 101
346,101 14 101 101 101
347,101 33 101 101 101
348,101 59 101 101 101
349,101 59 101 101 101
350,101 59 101 101 101
351,101 9 101 101 101
352,101 75 101 101 101
353,101 9 101 101 101
354,101 9 101 101 101
355,101 2 101 101 101
356,101 2 101 101 101
357,101 69 101 101 101
358,101 69 101 101 101
359,101 83 101 101 101
360,101 2 101 101 101
361,101 2 101 101 101
362,101 64 101 101 101
363,101 97 101 101 101
364,101 5 101 101 101
365,101 5 101 101 101
366,101 70 101 101 101
367,101 97 101 101 101
368,101 64 101 101 101
369,101 69 101 101 101
370,101 64 101 101 101
371,101 84 101 101 101
372,101 84 101 101 101
373,101 69 101 101 101
374,101 69 101 101 101
375,101 84 101 101 101
376,101 0 101 101 101
377,101 70 101 101 101
378,101 56 101 101 101
379,101 41 101 101 101
380,101 84 101 101 101
381,101 97 101 101 101
382,101 69 101 101 101
383,101 56 101 101 101
384,101 21 101 101 101
385,101 21 101 101 101
386,101 69 101 101 101
387,101 21 101 101 101
388,101 21 101 101 101
389,101 21 101 101 101
390,101 21 101 101 101
391,101 21 101 101 101
392,101 58 101 101 101
393,101 58 101 101 101
394,101 97 101 101 101
395,101 73 101 101 101
396,101 38 101 101 101
397,101 38 101 101 101
398,101 38 101 101 101
399,101 38 101 101 101
400,101 64 101 101 101
401,101 64 101 101 101
402,101 69 101 101 101
403,101 97 101 101 101
404,101 64 101 101 101
405,101 44 101 101 101
406,101 38 101 101 101
407,101 44 101 101 101
408,101 38 101 101 101
409,101 38 101 101 101
410,101 82 101 101 101
411,101 38 101 101 101
412,101 78 101 101 101
413,101 82 101 101 101
414,101 89 101 101 101
415,101 97 101 101 101
416,101 64 101 101 101
417,101 38 101 101 101
418,101 38 101 101 101
419,101 36 101 101 101
420,101 36 101 101 101
421,101 38 101 101 101
422,101 38 101 101 101
423,101 56 101 101 101
424,101 2 101 101 101
425,101 21 101 101 101
426,101 56 101 101 101
427,101 92 101 101 101
428,101 86 101 101 101
429,101 86 101 101 101
430,101 56 101 101 101
431,101 56 101 101 101
432,101 38 101 101 101
433,101 64 101 101 101
434,101 82 101 101 101
435,101 81 101 101 101
